created_date,complaint_type,borough,descriptor,latitude,longitude
2025-05-09 01:25:34,Noise - Park,QUEENS,Loud Talking,40.76985147276612,-73.80915201350913
2025-05-09 01:25:14,Abandoned Vehicle,QUEENS,With License Plate,40.695026671278946,-73.80111883697482
2025-05-09 01:24:40,Homeless Person Assistance,BRONX,Non-Chronic,40.83855707927812,-73.91388286014495
2025-05-09 01:23:31,Blocked Driveway,BRONX,Partial Access,40.80763278412472,-73.85645860781139
2025-05-09 01:22:59,Rodent,MANHATTAN,Rat Sighting,40.82692945691278,-73.93793379898436
2025-05-09 01:22:57,Illegal Parking,BROOKLYN,Posted Parking Sign Violation,40.694317907496355,-73.97710098115013
2025-05-09 01:22:20,Dead Animal,BROOKLYN,Raccoon,40.626306866413394,-73.91993869707277
2025-05-09 01:21:52,Noise - Commercial,BROOKLYN,Loud Music/Party,40.690467928187594,-73.96931348027461
2025-05-09 01:21:41,Noise - Residential,MANHATTAN,Banging/Pounding,40.7263640809953,-73.98332077635699
2025-05-09 01:21:29,Illegal Parking,BROOKLYN,Blocked Hydrant,40.63549508819709,-73.89447630787663
2025-05-09 01:21:18,Noise - Street/Sidewalk,MANHATTAN,Loud Music/Party,40.81127209230739,-73.94587779889243
2025-05-09 01:20:06,Noise - Residential,BRONX,Banging/Pounding,40.81808036126447,-73.88995614047143
2025-05-09 01:18:52,Noise - Street/Sidewalk,BRONX,Loud Music/Party,40.83919080662398,-73.9134808858893
2025-05-09 01:18:17,Noise - Residential,BROOKLYN,Banging/Pounding,40.633607543827594,-73.97109061843709
2025-05-09 01:18:02,Abandoned Vehicle,QUEENS,With License Plate,40.695026671278946,-73.80111883697482
2025-05-09 01:18:00,Encampment,MANHATTAN,N/A,40.716459431762694,-74.0023267359905
2025-05-09 01:17:54,Homeless Person Assistance,MANHATTAN,Chronic,40.802030529483076,-73.95900041412796
2025-05-09 01:17:38,Noise - Street/Sidewalk,MANHATTAN,Loud Talking,40.82732498552474,-73.94980691050269
2025-05-09 01:16:47,Noise - Vehicle,MANHATTAN,Engine Idling,40.763889805729164,-73.98021407479098
2025-05-09 01:15:58,Noise - Park,MANHATTAN,Loud Music/Party,40.80484651053699,-73.94548930106254
2025-05-09 01:15:54,Noise - Vehicle,MANHATTAN,Engine Idling,40.73952289028916,-73.98685029320727
2025-05-09 01:15:41,Noise - Street/Sidewalk,BROOKLYN,Loud Talking,40.700978660714526,-73.92837119713052
2025-05-09 01:15:14,Blocked Driveway,QUEENS,Partial Access,40.74395628372324,-73.85989427714763
2025-05-09 01:15:06,Rodent,BROOKLYN,Rat Sighting,40.69502106409246,-73.9458026768717
2025-05-09 01:15:04,Noise - Street/Sidewalk,BRONX,Loud Talking,40.81796982181193,-73.91884464972269
2025-05-09 01:14:59,Noise - Commercial,BROOKLYN,Loud Music/Party,40.66067512477372,-73.95061712747254
2025-05-09 01:14:42,Illegal Parking,QUEENS,Blocked Hydrant,40.70438488233707,-73.89903792599236
2025-05-09 01:14:37,Noise - Street/Sidewalk,MANHATTAN,Loud Talking,40.808001944384515,-73.96389863279262
2025-05-09 01:14:29,Noise - Vehicle,MANHATTAN,Engine Idling,40.74026584140691,-73.98063969156779
2025-05-09 01:13:50,Blocked Driveway,BRONX,No Access,40.846191156359474,-73.86141023903747
2025-05-09 01:12:42,Noise - Street/Sidewalk,QUEENS,Loud Talking,40.745792728710896,-73.89340298105401
2025-05-09 01:12:41,Noise - Residential,MANHATTAN,Loud Music/Party,40.75965353615678,-73.99556370090886
2025-05-09 01:12:38,Blocked Driveway,QUEENS,No Access,40.74396451796283,-73.8598942598314
2025-05-09 01:12:26,Noise - Residential,BRONX,Loud Television,40.8715731645546,-73.8651936604682
2025-05-09 01:12:08,Noise - Commercial,BRONX,Loud Music/Party,40.85694661224432,-73.90025232329172
2025-05-09 01:11:25,Noise - Vehicle,STATEN ISLAND,Car/Truck Music,40.54084351797244,-74.16192550880089
2025-05-09 01:11:19,Illegal Parking,BRONX,Double Parked Blocking Traffic,40.861911836905215,-73.85393009013083
2025-05-09 01:10:58,Noise - Vehicle,MANHATTAN,Engine Idling,40.763889805729164,-73.98021407479098
2025-05-09 01:10:46,Consumer Complaint,BRONX,Home Improvement Contractor,40.86989319132168,-73.89390909830686
2025-05-09 01:10:35,Noise - Residential,BROOKLYN,Loud Music/Party,40.59550064999087,-73.93517104857946
2025-05-09 01:09:53,Noise - Residential,MANHATTAN,Loud Music/Party,40.82645156052014,-73.94843451299843
2025-05-09 01:09:50,Noise - Residential,BRONX,Loud Music/Party,40.899870431701906,-73.85792336887489
2025-05-09 01:09:30,Illegal Parking,BRONX,Blocked Hydrant,40.86951718830944,-73.90008160965915
2025-05-09 01:08:55,Homeless Person Assistance,MANHATTAN,Non-Chronic,40.712427048499116,-74.00901059674217
2025-05-09 01:07:23,Noise - Residential,QUEENS,Banging/Pounding,40.785212237917,-73.9160426660787
2025-05-09 01:07:20,Noise - Residential,QUEENS,Banging/Pounding,40.59599553669944,-73.74218707271653
2025-05-09 01:07:13,Illegal Parking,BRONX,Blocked Hydrant,40.84589209305118,-73.83442961221682
2025-05-09 01:06:57,Noise - Commercial,QUEENS,Car/Truck Music,40.71411288797069,-73.76427538893229
2025-05-09 01:06:44,Illegal Parking,QUEENS,Blocked Sidewalk,40.711331480881114,-73.8271529351623
2025-05-09 01:05:20,Overgrown Tree/Branches,QUEENS,Dead Branches in Tree,40.76599910380306,-73.76525056819604
2025-05-09 01:04:25,Panhandling,BRONX,N/A,40.848217986280744,-73.91698965727319
2025-05-09 01:03:48,Noise - Residential,BROOKLYN,Loud Music/Party,40.65619037888672,-73.93958834503375
2025-05-09 01:03:27,Noise - Street/Sidewalk,MANHATTAN,Loud Music/Party,40.82520323118301,-73.9496025563857
2025-05-09 01:03:04,Non-Emergency Police Matter,QUEENS,Other (complaint details),40.68154889151841,-73.79434831131233
2025-05-09 01:02:57,Noise - Street/Sidewalk,BRONX,Loud Music/Party,40.812897103451725,-73.92213827515442
2025-05-09 01:02:52,Blocked Driveway,BROOKLYN,No Access,40.62224930933174,-73.98349448611847
2025-05-09 01:02:33,Blocked Driveway,QUEENS,No Access,40.68733839395496,-73.78870904868548
2025-05-09 01:02:29,Illegal Parking,BROOKLYN,Double Parked Blocking Vehicle,40.65583159962477,-73.95303543625613
2025-05-09 01:00:34,Noise - Residential,QUEENS,Loud Music/Party,40.683222759827544,-73.86207343756946
2025-05-09 01:00:27,Noise - Residential,BROOKLYN,Loud Talking,40.652722537752325,-73.9484390524703
2025-05-09 01:00:02,Illegal Parking,BROOKLYN,Commercial Overnight Parking,40.6222410765094,-73.98350529490601
2025-05-09 00:59:43,Noise - Residential,BRONX,Loud Music/Party,40.83896311232895,-73.91363658344284
2025-05-09 00:59:29,Noise - Residential,BRONX,Banging/Pounding,40.852670039839616,-73.86488134327988
2025-05-09 00:59:16,Noise - Vehicle,BROOKLYN,Engine Idling,40.660009327858404,-73.96082497088796
2025-05-09 00:58:43,Illegal Parking,BROOKLYN,Blocked Crosswalk,40.69526742103857,-73.97623156176391
2025-05-09 00:58:38,Illegal Parking,BRONX,Blocked Hydrant,40.8381292522895,-73.88864002811466
2025-05-09 00:58:32,Blocked Driveway,BROOKLYN,No Access,40.69703395625911,-73.9276145074145
2025-05-09 00:58:30,Rodent,BROOKLYN,Rat Sighting,40.629598488730615,-73.97576859186505
2025-05-09 00:58:28,Noise - Commercial,BROOKLYN,Loud Music/Party,40.66067512477372,-73.95061712747254
2025-05-09 00:58:06,Illegal Parking,BRONX,Blocked Hydrant,40.82230025720139,-73.85619211834099
2025-05-09 00:58:04,Noise - Residential,BROOKLYN,Loud Music/Party,40.59550064999087,-73.93517104857946
2025-05-09 00:58:01,Noise - Residential,BRONX,Loud Music/Party,40.81920839294845,-73.92817890823008
2025-05-09 00:57:52,Noise - Commercial,BROOKLYN,Loud Music/Party,40.6744687018471,-73.95317372531427
2025-05-09 00:57:24,Noise - Street/Sidewalk,BROOKLYN,Loud Talking,40.612262549343406,-73.93415709607731
2025-05-09 00:56:31,Noise - Street/Sidewalk,BROOKLYN,Loud Talking,40.61838507173187,-73.93224197372908
2025-05-09 00:56:02,Illegal Parking,BROOKLYN,Posted Parking Sign Violation,40.694317907496355,-73.97710098115013
2025-05-09 00:55:16,Street Condition,BRONX,"Rough, Pitted or Cracked Roads",40.83366419814088,-73.82500297838725
2025-05-09 00:55:12,Noise - Vehicle,MANHATTAN,Car/Truck Music,40.72516584792193,-73.97494012432519
2025-05-09 00:55:06,Illegal Tree Damage,BROOKLYN,Roots Damaged,40.61241084649527,-73.9342938152085
2025-05-09 00:55:02,Noise - Residential,MANHATTAN,Banging/Pounding,40.72226531500236,-73.97826747474134
2025-05-09 00:55:00,Traffic Signal Condition,QUEENS,Controller,40.70440436979672,-73.88201069831531
2025-05-09 00:54:44,Noise - Residential,MANHATTAN,Banging/Pounding,40.82622075758807,-73.94788547121932
2025-05-09 00:54:28,Consumer Complaint,QUEENS,Tobacco Sales,40.71278335642703,-73.78328980140648
2025-05-09 00:54:04,Noise - Commercial,BROOKLYN,Loud Music/Party,40.69975138994517,-73.91568505982339
2025-05-09 00:53:29,Homeless Person Assistance,MANHATTAN,Non-Chronic,40.755477964661544,-73.98559827187562
2025-05-09 00:52:29,Illegal Parking,BRONX,Blocked Sidewalk,40.82320958792463,-73.88927200241413
2025-05-09 00:52:13,Noise - Commercial,BROOKLYN,Loud Music/Party,40.697947965452556,-73.93694672836828
2025-05-09 00:51:29,Noise - Commercial,QUEENS,Loud Music/Party,40.70406638963999,-73.83484317792504
2025-05-09 00:51:16,Encampment,MANHATTAN,N/A,40.71307226273342,-73.99397965111204
2025-05-09 00:51:16,Encampment,MANHATTAN,N/A,40.71307226273342,-73.99397965111204
2025-05-09 00:51:01,Noise - Street/Sidewalk,BRONX,Loud Talking,40.89978131876441,-73.85252293501132
2025-05-09 00:50:10,Consumer Complaint,QUEENS,E-Cigarette Sales,40.71232857232768,-73.78520666603833
2025-05-09 00:50:08,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:50:00,Street Light Condition,BROOKLYN,Street Light Out,40.60307576235664,-73.97677575486289
2025-05-09 00:49:35,Noise - Residential,QUEENS,Loud Talking,40.70885716407583,-73.8157109276452
2025-05-09 00:48:56,Homeless Person Assistance,BRONX,Chronic,40.83516561109633,-73.8268565152108
2025-05-09 00:48:28,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:47:53,Consumer Complaint,QUEENS,E-Cigarette Sales,40.71278335642703,-73.78328980140648
2025-05-09 00:47:12,Noise - Vehicle,BROOKLYN,Car/Truck Music,40.674266601585295,-73.94909654317458
2025-05-09 00:47:03,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:47:00,Street Light Condition,BROOKLYN,Street Light Dayburning,40.5777434388826,-73.95606382180327
2025-05-09 00:46:26,Illegal Parking,BROOKLYN,Parking Permit Improper Use,40.6728803723839,-73.92399968511906
